File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2015090_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,3/31/15,18838,0.8792,1.5426,"(0.8792,1.5426)",1.2573,0.1261,0.0159,1.3371,1.4799,1.3,1.0962,1.2407
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2015091_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/1/15,73124,0.31,1.5649,"(0.31,1.5649)",1.22,0.285,0.0812,1.3628,1.5371,1.34,1.0722,1.2465
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2015092_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/2/15,70875,0.31,1.5649,"(0.31,1.5649)",1.241,0.2532,0.0641,1.362,1.5296,1.34,1.082,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2015093_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/3/15,56311,0.31,1.5649,"(0.31,1.5649)",1.2325,0.2885,0.0833,1.3724,1.5239,1.34,1.1199,1.2713
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2015094_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/4/15,73330,0.31,1.5649,"(0.31,1.5649)",1.2264,0.2768,0.0766,1.363,1.5322,1.34,1.0787,1.2493
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2015095_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/5/15,69755,0.31,1.5649,"(0.31,1.5649)",1.2436,0.246,0.0605,1.3601,1.5221,1.34,1.0884,1.2514
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2015096_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/6/15,72687,0.31,1.5649,"(0.31,1.5649)",1.222,0.2828,0.08,1.3623,1.5306,1.34,1.0816,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2015097_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/7/15,72892,0.31,1.5649,"(0.31,1.5649)",1.2359,0.2634,0.0694,1.3634,1.5322,1.34,1.0799,1.25
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2015098_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/8/15,69377,0.31,1.5649,"(0.31,1.5649)",1.2462,0.2431,0.0591,1.3609,1.5148,1.34,1.1042,1.2582
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_bulk_density_doy2015099_aid0001,Soil_Moisture_Retrieval_Data_AM_bulk_density,aid0001,4/9/15,73149,0.31,1.5649,"(0.31,1.5649)",1.2199,0.2852,0.0814,1.3628,1.5346,1.34,1.073,1.2468
