File,aid,Date,(0) Water Bodies,(1) Evergreen Needleleaf Forests,(5) Mixed Forests,(7) Open Shrublands,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(14) Cropland/Natural Vegetation Mosaic,(15) Permanent Snow and Ice
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015090_aid0001,aid0001,3/31/15,350,13,2,590,263,,151,,,,43
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015091_aid0001,aid0001,4/1/15,783,864,221,1650,537,34,725,22,70,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015092_aid0001,aid0001,4/2/15,778,780,114,1669,555,40,756,1,66,15,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015093_aid0001,aid0001,4/3/15,631,682,210,1121,350,29,660,21,55,24,117
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015094_aid0001,aid0001,4/4/15,790,894,202,1637,516,41,751,22,60,13,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015095_aid0001,aid0001,4/5/15,733,693,128,1690,568,36,751,4,61,22,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015096_aid0001,aid0001,4/6/15,791,789,217,1657,548,31,745,22,63,21,131
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015097_aid0001,aid0001,4/7/15,799,871,154,1662,520,42,756,14,64,14,123
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015098_aid0001,aid0001,4/8/15,770,638,171,1645,557,33,766,21,59,21,128
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015099_aid0001,aid0001,4/9/15,781,856,220,1657,539,34,724,22,72,20,118
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015100_aid0001,aid0001,4/10/15,779,785,116,1669,555,40,757,1,65,15,115
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015101_aid0001,aid0001,4/11/15,800,692,213,1638,562,28,757,21,55,23,134
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015102_aid0001,aid0001,4/12/15,790,893,201,1639,517,41,749,22,60,13,129
