File,aid,Date,(0) Water Bodies,(1) Evergreen Needleleaf Forests,(3) Deciduous Needleleaf Forests,(5) Mixed Forests,(6) Closed Shrublands,(7) Open Shrublands,(8) Woody Savannas,(9) Savannas,(10) Grasslands,(11) Permanent Wetlands,(12) Croplands,(13) Urban and Built-up Lands,(14) Cropland/Natural Vegetation Mosaic,(15) Permanent Snow and Ice,(16) Barren,(99) NA
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015090_aid0001,aid0001,3/31/15,134,93,6,84,3,147,125,143,361,48,,,1,171,55,41
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015091_aid0001,aid0001,4/1/15,938,219,46,257,2,443,532,531,790,249,38,7,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015092_aid0001,aid0001,4/2/15,935,199,42,255,3,449,546,526,784,203,32,4,64,426,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015093_aid0001,aid0001,4/3/15,791,143,42,144,,343,371,432,583,170,39,7,111,351,353,20
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015094_aid0001,aid0001,4/4/15,953,204,47,248,3,467,558,544,777,235,32,4,125,431,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015095_aid0001,aid0001,4/5/15,915,196,40,230,3,453,520,544,799,180,25,6,60,425,360,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015096_aid0001,aid0001,4/6/15,959,219,46,232,3,449,499,532,802,234,42,7,127,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015097_aid0001,aid0001,4/7/15,964,202,46,268,1,458,549,525,788,227,34,2,103,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015098_aid0001,aid0001,4/8/15,871,206,46,212,3,472,497,549,818,160,31,7,79,437,371,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015099_aid0001,aid0001,4/9/15,937,220,46,254,2,444,531,529,794,250,38,8,134,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015100_aid0001,aid0001,4/10/15,937,198,42,258,3,450,547,525,783,204,32,3,67,427,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015101_aid0001,aid0001,4/11/15,897,221,45,221,3,472,491,540,811,210,39,7,110,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015102_aid0001,aid0001,4/12/15,951,205,47,246,3,466,558,547,777,236,32,4,124,432,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015103_aid0001,aid0001,4/13/15,916,198,40,232,3,457,518,544,798,181,25,6,59,425,361,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015104_aid0001,aid0001,4/14/15,959,219,46,232,3,450,499,533,802,232,43,7,127,439,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015105_aid0001,aid0001,4/15/15,964,201,46,267,1,457,551,528,788,228,34,2,105,426,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015106_aid0001,aid0001,4/16/15,782,113,41,130,,356,388,418,583,128,30,7,78,361,353,38
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015107_aid0001,aid0001,4/17/15,940,220,46,249,2,445,532,529,796,250,38,8,135,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015108_aid0001,aid0001,4/18/15,941,197,43,257,2,449,547,526,785,203,31,3,67,427,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015109_aid0001,aid0001,4/19/15,755,203,45,190,3,418,445,506,799,158,37,6,100,410,295,49
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015110_aid0001,aid0001,4/20/15,951,204,47,248,3,465,559,546,776,236,32,4,124,432,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015111_aid0001,aid0001,4/21/15,866,101,36,176,2,396,457,402,621,167,25,6,59,365,345,41
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015112_aid0001,aid0001,4/22/15,959,219,46,232,3,450,499,532,800,233,43,7,127,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015113_aid0001,aid0001,4/23/15,936,96,45,204,,355,488,473,639,226,34,2,104,404,373,51
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015114_aid0001,aid0001,4/24/15,871,206,46,212,3,470,496,548,820,162,30,7,79,436,370,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015115_aid0001,aid0001,4/25/15,939,220,46,252,2,445,532,529,797,250,38,8,136,429,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015116_aid0001,aid0001,4/26/15,939,198,43,257,2,450,547,526,785,204,32,3,67,427,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015117_aid0001,aid0001,4/27/15,896,221,45,220,3,472,490,540,811,210,39,7,110,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015118_aid0001,aid0001,4/28/15,951,205,47,247,3,465,559,546,776,237,32,4,124,432,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015119_aid0001,aid0001,4/29/15,915,197,40,231,3,457,517,542,798,182,25,6,60,425,360,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015120_aid0001,aid0001,4/30/15,959,219,46,231,3,449,499,532,801,233,42,7,126,439,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015121_aid0001,aid0001,5/1/15,927,98,33,207,,355,477,381,600,216,34,2,105,390,355,49
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015122_aid0001,aid0001,5/2/15,853,203,46,208,3,466,487,540,819,156,30,7,76,437,371,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015123_aid0001,aid0001,5/3/15,938,220,46,254,2,443,532,530,796,250,38,8,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015124_aid0001,aid0001,5/4/15,936,199,42,256,3,450,547,525,782,204,32,3,65,426,373,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015125_aid0001,aid0001,5/5/15,897,221,45,223,3,472,489,539,810,210,39,7,111,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015126_aid0001,aid0001,5/6/15,953,203,47,247,3,466,559,546,779,235,32,4,125,432,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015127_aid0001,aid0001,5/7/15,528,158,37,134,3,407,356,383,688,84,,,2,387,332,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015128_aid0001,aid0001,5/8/15,959,220,46,233,3,449,501,532,801,234,42,7,127,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015129_aid0001,aid0001,5/9/15,963,202,46,267,1,458,551,526,786,226,34,2,103,427,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015130_aid0001,aid0001,5/10/15,871,206,46,212,3,473,497,546,820,161,31,7,80,438,371,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015131_aid0001,aid0001,5/11/15,938,219,46,254,2,444,532,532,790,249,38,8,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015134_aid0001,aid0001,5/14/15,169,120,28,61,3,195,171,232,488,54,,,,227,109,44
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015135_aid0001,aid0001,5/15/15,914,196,40,231,3,455,520,545,798,180,25,6,59,425,360,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015136_aid0001,aid0001,5/16/15,959,220,46,232,3,449,500,532,801,234,42,7,127,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015137_aid0001,aid0001,5/17/15,962,201,46,267,1,458,551,526,786,226,35,2,101,427,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015138_aid0001,aid0001,5/18/15,871,206,46,212,3,473,497,546,819,161,31,7,81,438,372,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015139_aid0001,aid0001,5/19/15,936,220,46,256,2,443,532,532,791,249,38,8,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015140_aid0001,aid0001,5/20/15,935,199,42,256,3,445,546,525,784,204,32,4,64,426,372,48
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015141_aid0001,aid0001,5/21/15,898,220,45,224,3,471,492,539,809,213,39,7,112,432,372,52
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015142_aid0001,aid0001,5/22/15,953,203,47,249,3,467,558,546,778,235,32,4,125,431,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015143_aid0001,aid0001,5/23/15,915,196,40,231,3,454,520,545,800,180,25,6,60,425,360,45
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015144_aid0001,aid0001,5/24/15,960,220,46,233,3,449,500,533,801,234,42,7,127,438,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015145_aid0001,aid0001,5/25/15,963,202,46,267,1,458,553,524,786,226,35,2,101,427,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015146_aid0001,aid0001,5/26/15,871,206,46,212,3,472,498,546,819,161,31,7,81,438,372,50
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015147_aid0001,aid0001,5/27/15,937,219,46,255,2,443,532,531,791,249,38,8,136,430,373,53
Soil_Moisture_Retrieval_Data_AM_landcover_class_2015148_aid0001,aid0001,5/28/15,935,200,42,256,3,450,546,526,783,204,32,4,64,426,373,48
