File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL4CMDL_004_SOC_soc_mean_doy2015090_aid0001,SOC_soc_mean,aid0001,3/31/15,78887,0.2879,6914.4722,"(0.2879,6914.4722)",2914.4565,1119.9874,1254371.836,3687.4871,5835.8535,3056.3882,145.6707,2254.6617
SPL4CMDL_004_SOC_soc_mean_doy2015091_aid0001,SOC_soc_mean,aid0001,4/1/15,78887,0.2879,6915.3604,"(0.2879,6915.3604)",2914.8401,1120.1049,1254634.894,3687.9344,5836.5327,3056.8286,145.7016,2254.9689
SPL4CMDL_004_SOC_soc_mean_doy2015092_aid0001,SOC_soc_mean,aid0001,4/2/15,78887,0.2879,6916.2476,"(0.2879,6916.2476)",2915.2625,1120.2433,1254945.02,3688.4792,5837.207,3057.3977,145.7325,2255.3431
SPL4CMDL_004_SOC_soc_mean_doy2015093_aid0001,SOC_soc_mean,aid0001,4/3/15,78887,0.288,6917.1235,"(0.288,6917.1235)",2915.7222,1120.3951,1255285.273,3689.1949,5837.8779,3058.0081,145.7634,2255.6929
SPL4CMDL_004_SOC_soc_mean_doy2015094_aid0001,SOC_soc_mean,aid0001,4/4/15,78887,0.288,6918.0088,"(0.288,6918.0088)",2916.207,1120.5581,1255650.468,3689.902,5840.3618,3058.5142,145.7942,2255.9799
SPL4CMDL_004_SOC_soc_mean_doy2015095_aid0001,SOC_soc_mean,aid0001,4/5/15,78887,0.2881,6918.8989,"(0.2881,6918.8989)",2916.7053,1120.7297,1256035.142,3690.4199,5841.1528,3059.1714,145.825,2256.4614
SPL4CMDL_004_SOC_soc_mean_doy2015096_aid0001,SOC_soc_mean,aid0001,4/6/15,78887,0.2881,6919.7827,"(0.2881,6919.7827)",2917.198,1120.8981,1256412.486,3691.0555,5841.9395,3059.5806,145.8558,2256.9116
SPL4CMDL_004_SOC_soc_mean_doy2015097_aid0001,SOC_soc_mean,aid0001,4/7/15,78887,0.2881,6920.6616,"(0.2881,6920.6616)",2917.6523,1121.0439,1256739.527,3691.5927,5842.7183,3060.1045,145.8866,2257.1998
SPL4CMDL_004_SOC_soc_mean_doy2015098_aid0001,SOC_soc_mean,aid0001,4/8/15,78887,0.2882,6921.5337,"(0.2882,6921.5337)",2918.0681,1121.1772,1257038.417,3692.1719,5843.4844,3060.5491,145.9174,2257.5857
SPL4CMDL_004_SOC_soc_mean_doy2015099_aid0001,SOC_soc_mean,aid0001,4/9/15,78887,0.2882,6922.3911,"(0.2882,6922.3911)",2918.4377,1121.286,1257282.318,3692.5015,5844.2354,3060.8823,145.9482,2257.8948
SPL4CMDL_004_SOC_soc_mean_doy2015100_aid0001,SOC_soc_mean,aid0001,4/10/15,78887,0.2882,6923.2197,"(0.2882,6923.2197)",2918.7471,1121.3644,1257458.073,3692.8142,5843.3032,3061.2336,145.9789,2258.2064
SPL4CMDL_004_SOC_soc_mean_doy2015101_aid0001,SOC_soc_mean,aid0001,4/11/15,78887,0.2883,6924.0449,"(0.2883,6924.0449)",2919.0103,1121.4286,1257602.08,3693.1763,5844.1162,3061.4565,146.0097,2258.4827
SPL4CMDL_004_SOC_soc_mean_doy2015102_aid0001,SOC_soc_mean,aid0001,4/12/15,78887,0.2883,6924.8628,"(0.2883,6924.8628)",2919.2886,1121.5188,1257804.416,3693.4307,5844.9272,3061.7034,146.0338,2258.71
SPL4CMDL_004_SOC_soc_mean_doy2015103_aid0001,SOC_soc_mean,aid0001,4/13/15,78887,0.2884,6925.6821,"(0.2884,6925.6821)",2919.5952,1121.6235,1258039.355,3693.8503,5845.7368,3062.075,146.051,2258.9427
SPL4CMDL_004_SOC_soc_mean_doy2015104_aid0001,SOC_soc_mean,aid0001,4/14/15,78887,0.2884,6926.501,"(0.2884,6926.501)",2919.9067,1121.718,1258251.311,3694.1667,5846.543,3062.5371,146.0681,2259.2394
SPL4CMDL_004_SOC_soc_mean_doy2015105_aid0001,SOC_soc_mean,aid0001,4/15/15,78887,0.2884,6927.3135,"(0.2884,6927.3135)",2920.1919,1121.8027,1258441.375,3694.3301,5845.7583,3062.8577,146.0854,2259.4849
SPL4CMDL_004_SOC_soc_mean_doy2015106_aid0001,SOC_soc_mean,aid0001,4/16/15,78887,0.2885,6928.1113,"(0.2885,6928.1113)",2920.4338,1121.8669,1258585.439,3694.5602,5846.5249,3063.1741,146.1025,2259.7498
SPL4CMDL_004_SOC_soc_mean_doy2015107_aid0001,SOC_soc_mean,aid0001,4/17/15,78887,0.2885,6928.8853,"(0.2885,6928.8853)",2920.6384,1121.9192,1258702.668,3694.6521,5846.5342,3063.4468,146.1195,2259.9351
SPL4CMDL_004_SOC_soc_mean_doy2015108_aid0001,SOC_soc_mean,aid0001,4/18/15,78887,0.2885,6929.6611,"(0.2885,6929.6611)",2920.8462,1121.9795,1258837.981,3694.8428,5842.8638,3063.5913,146.1363,2260.1301
SPL4CMDL_004_SOC_soc_mean_doy2015109_aid0001,SOC_soc_mean,aid0001,4/19/15,78887,0.2886,6930.4263,"(0.2886,6930.4263)",2921.0479,1122.0332,1258958.509,3694.9685,5843.208,3063.7141,146.153,2260.344
SPL4CMDL_004_SOC_soc_mean_doy2015110_aid0001,SOC_soc_mean,aid0001,4/20/15,78887,0.2886,6931.0479,"(0.2886,6931.0479)",2921.2043,1122.0585,1259015.214,3694.9791,5843.5112,3063.8794,146.1697,2260.5897
SPL4CMDL_004_SOC_soc_mean_doy2015111_aid0001,SOC_soc_mean,aid0001,4/21/15,78887,0.2886,6931.5425,"(0.2886,6931.5425)",2921.3179,1122.0496,1258995.216,3694.9316,5843.9365,3063.9797,146.1864,2260.87
SPL4CMDL_004_SOC_soc_mean_doy2015112_aid0001,SOC_soc_mean,aid0001,4/22/15,78887,0.2887,6931.9761,"(0.2887,6931.9761)",2921.4585,1122.0463,1258987.82,3695.1,5844.3135,3064.3523,146.203,2261.1364
SPL4CMDL_004_SOC_soc_mean_doy2015113_aid0001,SOC_soc_mean,aid0001,4/23/15,78887,0.2887,6932.4102,"(0.2887,6932.4102)",2921.6582,1122.0781,1259059.319,3695.2682,5844.6528,3064.5068,146.2195,2261.2551
SPL4CMDL_004_SOC_soc_mean_doy2015114_aid0001,SOC_soc_mean,aid0001,4/24/15,78887,0.2887,6932.7876,"(0.2887,6932.7876)",2921.9082,1122.131,1259177.94,3695.5796,5844.6646,3064.6875,146.236,2261.5542
SPL4CMDL_004_SOC_soc_mean_doy2015115_aid0001,SOC_soc_mean,aid0001,4/25/15,78887,0.2888,6933.186,"(0.2888,6933.186)",2922.1626,1122.191,1259312.73,3696.0491,5844.7266,3065.0623,146.2525,2261.8671
SPL4CMDL_004_SOC_soc_mean_doy2015116_aid0001,SOC_soc_mean,aid0001,4/26/15,78887,0.2888,6933.5527,"(0.2888,6933.5527)",2922.3645,1122.2372,1259416.294,3696.2832,5845.2217,3065.3071,146.2689,2262.1218
SPL4CMDL_004_SOC_soc_mean_doy2015117_aid0001,SOC_soc_mean,aid0001,4/27/15,78887,0.2888,6933.855,"(0.2888,6933.855)",2922.4763,1122.2386,1259419.582,3696.0887,5845.6572,3065.4509,146.2853,2262.3379
SPL4CMDL_004_SOC_soc_mean_doy2015118_aid0001,SOC_soc_mean,aid0001,4/28/15,78887,0.2888,6933.9561,"(0.2888,6933.9561)",2922.4331,1122.158,1259238.485,3695.8074,5845.9805,3065.5005,146.3016,2262.3557
SPL4CMDL_004_SOC_soc_mean_doy2015119_aid0001,SOC_soc_mean,aid0001,4/29/15,78887,0.2889,6934.0591,"(0.2889,6934.0591)",2922.2964,1122.054,1259005.078,3695.4641,5844.6792,3065.4907,146.3179,2262.3153
SPL4CMDL_004_SOC_soc_mean_doy2015120_aid0001,SOC_soc_mean,aid0001,4/30/15,78887,0.2889,6934.4165,"(0.2889,6934.4165)",2922.2075,1121.9994,1258882.63,3695.0427,5840.7695,3065.4673,146.3341,2262.3049
SPL4CMDL_004_SOC_soc_mean_doy2015121_aid0001,SOC_soc_mean,aid0001,5/1/15,78887,0.2889,6934.7803,"(0.2889,6934.7803)",2922.1382,1121.9559,1258785.115,3694.4985,5841.1904,3065.2222,146.3503,2262.2826
SPL4CMDL_004_SOC_soc_mean_doy2015122_aid0001,SOC_soc_mean,aid0001,5/2/15,78887,0.289,6935.1162,"(0.289,6935.1162)",2922.0967,1121.9208,1258706.228,3694.4504,5841.4683,3065.2559,146.3665,2262.1998
SPL4CMDL_004_SOC_soc_mean_doy2015123_aid0001,SOC_soc_mean,aid0001,5/3/15,78887,0.289,6935.46,"(0.289,6935.46)",2922.1279,1121.9032,1258666.786,3694.3143,5841.6538,3065.3132,146.3826,2262.3264
SPL4CMDL_004_SOC_soc_mean_doy2015124_aid0001,SOC_soc_mean,aid0001,5/4/15,78887,0.289,6935.8447,"(0.289,6935.8447)",2922.1965,1121.8864,1258628.988,3694.425,5841.729,3065.3389,146.3986,2262.3639
SPL4CMDL_004_SOC_soc_mean_doy2015125_aid0001,SOC_soc_mean,aid0001,5/5/15,78887,0.289,6935.9551,"(0.289,6935.9551)",2922.2344,1121.85,1258547.368,3694.401,5841.6577,3065.2021,146.4146,2262.3824
SPL4CMDL_004_SOC_soc_mean_doy2015126_aid0001,SOC_soc_mean,aid0001,5/6/15,78887,0.289,6935.9399,"(0.289,6935.9399)",2922.2488,1121.8142,1258467.12,3694.4106,5841.6445,3065.0969,146.4306,2262.4927
SPL4CMDL_004_SOC_soc_mean_doy2015127_aid0001,SOC_soc_mean,aid0001,5/7/15,78887,0.2891,6935.8599,"(0.2891,6935.8599)",2922.2349,1121.7628,1258351.819,3694.4276,5841.5269,3064.9819,146.4465,2262.6321
SPL4CMDL_004_SOC_soc_mean_doy2015128_aid0001,SOC_soc_mean,aid0001,5/8/15,78887,0.2891,6935.73,"(0.2891,6935.73)",2922.2002,1121.699,1258208.59,3694.1532,5840.3242,3065.1072,146.4624,2262.7295
SPL4CMDL_004_SOC_soc_mean_doy2015129_aid0001,SOC_soc_mean,aid0001,5/9/15,78887,0.2891,6935.5786,"(0.2891,6935.5786)",2922.0481,1121.5776,1257936.395,3693.8066,5840.0835,3064.9385,146.4782,2262.6821
SPL4CMDL_004_SOC_soc_mean_doy2015130_aid0001,SOC_soc_mean,aid0001,5/10/15,78887,0.2891,6934.9673,"(0.2891,6934.9673)",2921.7751,1121.3994,1257536.646,3693.1444,5837.418,3064.5667,146.494,2262.4441
SPL4CMDL_004_SOC_soc_mean_doy2015131_aid0001,SOC_soc_mean,aid0001,5/11/15,78887,0.2892,6934.0151,"(0.2892,6934.0151)",2921.3979,1121.1995,1257088.236,3692.4786,5836.6152,3064.3601,146.5098,2262.2787
SPL4CMDL_004_SOC_soc_mean_doy2015132_aid0001,SOC_soc_mean,aid0001,5/12/15,78887,0.2892,6933.1929,"(0.2892,6933.1929)",2920.918,1120.969,1256571.486,3691.5519,5835.5942,3063.7642,146.5255,2262.0436
SPL4CMDL_004_SOC_soc_mean_doy2015133_aid0001,SOC_soc_mean,aid0001,5/13/15,78887,0.2892,6932.2378,"(0.2892,6932.2378)",2920.3467,1120.7181,1256009.149,3690.535,5833.0981,3063.0564,146.5412,2261.5297
SPL4CMDL_004_SOC_soc_mean_doy2015134_aid0001,SOC_soc_mean,aid0001,5/14/15,78887,0.2892,6931.0552,"(0.2892,6931.0552)",2919.7124,1120.4637,1255439.004,3689.3767,5829.5928,3062.2935,146.5568,2260.7618
SPL4CMDL_004_SOC_soc_mean_doy2015135_aid0001,SOC_soc_mean,aid0001,5/15/15,78887,0.2893,6930.9888,"(0.2893,6930.9888)",2919.0491,1120.2058,1254861.058,3688.2521,5829.436,3061.3242,146.5724,2260.4012
SPL4CMDL_004_SOC_soc_mean_doy2015136_aid0001,SOC_soc_mean,aid0001,5/16/15,78887,0.2893,6930.4712,"(0.2893,6930.4712)",2918.5232,1119.949,1254285.706,3687.1599,5826.9438,3060.7297,146.5879,2259.8615
SPL4CMDL_004_SOC_soc_mean_doy2015137_aid0001,SOC_soc_mean,aid0001,5/17/15,78887,0.2893,6929.0503,"(0.2893,6929.0503)",2918.1484,1119.7548,1253850.724,3686.7616,5826.2056,3060.2271,146.6034,2259.8042
SPL4CMDL_004_SOC_soc_mean_doy2015138_aid0001,SOC_soc_mean,aid0001,5/18/15,78887,0.2893,6926.9722,"(0.2893,6926.9722)",2917.5527,1119.4911,1253260.298,3686.0585,5825.3887,3059.5383,146.6188,2259.4221
SPL4CMDL_004_SOC_soc_mean_doy2015139_aid0001,SOC_soc_mean,aid0001,5/19/15,78887,0.2893,6923.6211,"(0.2893,6923.6211)",2916.7175,1119.1437,1252482.569,3684.7164,5819.9648,3058.334,146.6343,2258.7933
SPL4CMDL_004_SOC_soc_mean_doy2015140_aid0001,SOC_soc_mean,aid0001,5/20/15,78887,0.2894,6921.6274,"(0.2894,6921.6274)",2915.7432,1118.7324,1251562.232,3683.2478,5817.645,3057.0623,146.6496,2258.2399
SPL4CMDL_004_SOC_soc_mean_doy2015141_aid0001,SOC_soc_mean,aid0001,5/21/15,78887,0.2894,6919.2798,"(0.2894,6919.2798)",2914.6604,1118.2837,1250558.415,3681.6123,5815.751,3055.8071,146.665,2257.2972
SPL4CMDL_004_SOC_soc_mean_doy2015142_aid0001,SOC_soc_mean,aid0001,5/22/15,78887,0.2894,6916.0889,"(0.2894,6916.0889)",2913.4707,1117.8051,1249488.138,3679.6792,5813.9414,3054.5083,146.6793,2256.1696
SPL4CMDL_004_SOC_soc_mean_doy2015143_aid0001,SOC_soc_mean,aid0001,5/23/15,78887,0.2894,6914.6104,"(0.2894,6914.6104)",2912.2478,1117.2936,1248344.942,3677.5559,5807.9331,3053.0615,146.6891,2255.3602
SPL4CMDL_004_SOC_soc_mean_doy2015144_aid0001,SOC_soc_mean,aid0001,5/24/15,78887,0.2895,6912.4111,"(0.2895,6912.4111)",2911.0215,1116.7539,1247139.287,3675.7491,5805.6152,3051.5447,146.6927,2254.5521
SPL4CMDL_004_SOC_soc_mean_doy2015145_aid0001,SOC_soc_mean,aid0001,5/25/15,78887,0.2895,6910.3311,"(0.2895,6910.3311)",2909.8198,1116.2288,1245966.644,3673.786,5804.1079,3050.175,146.686,2253.5367
