File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015090_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,3/31/15,18848,255.4225,279.7141,"(255.4225,279.7141)",270.8112,5.9233,35.0849,275.4602,279.7141,272.1353,255.4225,266.7089
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015091_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/1/15,73362,253.0793,281.5746,"(253.0793,281.5746)",269.3447,5.7031,32.5249,273.3225,281.5746,271.3051,254.2883,265.6503
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015092_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/2/15,71057,255.4509,279.5211,"(255.4509,279.5211)",269.2437,5.8036,33.6821,273.3483,279.5211,271.1674,255.4509,265.5486
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015093_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/3/15,56537,253.9301,279.0528,"(253.9301,279.0528)",268.0818,5.8129,33.7895,272.7536,279.0528,269.7385,253.9301,263.4186
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015094_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/4/15,73565,251.5641,279.5941,"(251.5641,279.5941)",268.6102,5.4921,30.1626,272.973,279.5941,270.1677,254.3202,264.9249
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015095_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/5/15,69895,255.7663,279.7167,"(255.7663,279.7167)",268.4943,5.7496,33.0583,273.0184,279.7167,269.6725,255.7663,264.3454
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015096_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/6/15,72924,254.2285,280.2466,"(254.2285,280.2466)",268.4528,5.5387,30.6767,272.6901,280.2466,269.4404,254.2285,264.5369
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015097_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/7/15,73127,255.8766,280.2427,"(255.8766,280.2427)",268.3718,5.4835,30.069,272.5245,280.2427,269.3854,255.8766,264.4228
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015098_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/8/15,69548,255.7427,279.373,"(255.7427,279.373)",268.7413,5.8196,33.8677,273.0275,279.373,269.992,255.7427,264.1856
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015099_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/9/15,73385,254.7695,279.6331,"(254.7695,279.6331)",269.0095,5.7165,32.6783,273.1853,279.6331,270.7313,254.7695,264.6964
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015100_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/10/15,71144,255.55,280.7125,"(255.55,280.7125)",269.1723,5.8495,34.2168,273.3729,280.7125,270.9875,255.55,264.6048
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015101_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/11/15,71253,253.2745,281.8594,"(253.2745,281.8594)",269.7028,6.0171,36.2054,274.0305,281.8594,271.8414,253.2745,265.1115
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015102_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/12/15,73546,253.5768,282.2307,"(253.5768,282.2307)",269.864,5.769,33.2812,273.8778,282.2307,272.2705,253.5768,265.7342
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015103_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/13/15,69911,255.3676,279.6299,"(255.3676,279.6299)",269.9922,5.6973,32.4592,273.972,279.6299,272.3763,255.3676,266.0467
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015104_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/14/15,72818,243.4705,283.3456,"(243.4705,283.3456)",270.0464,5.6815,32.2792,273.8538,283.3456,272.3407,255.2243,266.3924
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015105_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/15/15,73118,255.6761,283.9376,"(255.6761,283.9376)",269.9717,5.7303,32.8358,273.9299,283.9376,272.2896,255.6761,266.2133
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015106_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/16/15,55953,256.218,282.0452,"(256.218,282.0452)",269.1937,6.0932,37.1272,273.8065,282.0452,271.7573,256.218,263.8471
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015107_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/17/15,73294,255.5717,285.3333,"(255.5717,285.3333)",270.2614,5.7745,33.3449,274.2838,285.3333,272.6929,255.5717,266.2554
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015108_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/18/15,71111,257.096,286.4145,"(257.096,286.4145)",270.3529,5.8188,33.8583,274.4276,286.4145,272.6001,257.096,266.2368
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015109_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/19/15,71213,257.2283,285.5555,"(257.2283,285.5555)",270.5562,5.8247,33.9272,274.6896,285.5555,272.7832,257.2283,266.3864
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015110_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/20/15,73406,257.6954,283.3341,"(257.6954,283.3341)",270.7399,5.5482,30.782,274.6854,283.3341,273.0756,257.6954,266.7053
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015111_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/21/15,61771,257.9721,283.1877,"(257.9721,283.1877)",270.7268,5.9405,35.2895,275.178,283.1877,273.106,257.9721,265.8285
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015112_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/22/15,72801,246.1364,284.141,"(246.1364,284.141)",271.3321,5.7831,33.4438,275.5043,284.141,273.3241,255.0227,267.2714
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015113_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/23/15,69924,258.1591,282.7967,"(258.1591,282.7967)",270.9426,5.4865,30.1022,274.9041,282.7967,272.9317,258.1591,267.0775
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015114_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/24/15,69467,251.7869,282.3403,"(251.7869,282.3403)",271.1167,5.6561,31.9912,275.2067,282.3403,273.0001,255.4071,267.2178
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015115_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/25/15,73288,253.7366,282.7881,"(253.7366,282.7881)",271.0712,5.3976,29.1345,274.7446,282.7881,273.0065,257.0146,267.5629
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015116_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/26/15,71038,258.6579,284.1036,"(258.6579,284.1036)",271.1776,5.4361,29.5509,274.9038,284.1036,272.9875,258.6579,267.2415
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015117_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/27/15,71227,258.6572,284.8992,"(258.6572,284.8992)",271.6886,5.5904,31.253,275.7351,284.8992,273.4912,258.6572,267.5842
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015118_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/28/15,73421,252.2578,284.7792,"(252.2578,284.7792)",272.0063,5.4614,29.8269,276.1009,284.7792,273.7842,256.0859,268.0673
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015119_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/29/15,69845,259.4689,285.5894,"(259.4689,285.5894)",272.4688,5.8764,34.5325,277.0263,285.5894,273.9836,259.4689,268.1815
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015120_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,4/30/15,72793,254.4316,288.0389,"(254.4316,288.0389)",272.7772,5.7308,32.8417,276.9664,288.0389,274.3513,258.1012,269.4101
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015121_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,5/1/15,63149,256.6936,288.3203,"(256.6936,288.3203)",272.4456,5.7291,32.8226,276.7311,288.3203,273.9623,256.9038,268.758
SPL3SMP_E_003_Soil_Moisture_Retrieval_Data_AM_surface_temperature_doy2015122_aid0001,Soil_Moisture_Retrieval_Data_AM_surface_temperature,aid0001,5/2/15,69092,253.5204,284.293,"(253.5204,284.293)",272.8242,5.4849,30.0843,277.0328,284.293,274.4289,259.016,269.787
